District_Colline,Latitude,Longitude,"(Latitude,Longitude)"
Rango_Bishuri I,-3.2670114,29.6166035,"-3.2670114,29.6166035"
Ngozi_Rumbaga coop,-2.912346,29.8203705,"-2.912346,29.8203705"
Ngozi_Mihigo coop,-2.9121704,29.8204051,"-2.9121704,29.8204051"
Ngozi_Bwizabweranka coop,-2.9122601,29.820368,"-2.9122601,29.820368"
Ngozi_Kavumu B coop,-2.9121432,29.8204839,"-2.9121432,29.8204839"
Ngozi_Kavumu,-2.912192,29.8204283,"-2.912192,29.8204283"
Ngozi_Cigumije coop,-2.9122121,29.8202778,"-2.9122121,29.8202778"
Ngozi_Hina,-2.9120339,29.8204129,"-2.9120339,29.8204129"
Karusi_Buhiga,-3.101041,30.1593769,"-3.101041,30.1593769"
Kabarore_Tondero,-2.8472301,29.4975293,"-2.8472301,29.4975293"
Makebuko_Nyamagandika,-3.6380395,29.9702344,"-3.6380395,29.9702344"
Makebuko_Mwanzari,-3.6379735,29.9704524,"-3.6379735,29.9704524"
Kabarore_Ntarambo,-2.8993325,29.6988988,"-2.8993325,29.6988988"
Makebuko_Mwanzari,-3.638105,29.9700847,"-3.638105,29.9700847"
Nyarusange_Tye Coops,-3.5280992,29.7503854,"-3.5280992,29.7503854"
Nyarusange_Buhabwa coop,-3.6126093,29.7750598,"-3.6126093,29.7750598"
Muyinga_Mubuga,-2.6967668,30.4752931,"-2.6967668,30.4752931"
Muyinga_Murama,-2.6949736,30.4763265,"-2.6949736,30.4763265"
Makebuko_Bugumbasha,-3.6375459,29.9781021,"-3.6375459,29.9781021"
Nyarusange_Gasenyi Coops,-3.5260163,29.7543665,"-3.5260163,29.7543665"
Bweru_Mubavu,-3.3309184,30.3986727,"-3.3309184,30.3986727"
Kiremba_Rutambwe,-2.9252349,29.9309683,"-2.9252349,29.9309683"
Makebuko_Kinyonza,-3.5978703,29.97629,"-3.5978703,29.97629"
Bweru_Caga,-3.2734627,30.3368012,"-3.2734627,30.3368012"
Gishubi_Nyamugari 2,-3.7160758,29.8234085,"-3.7160758,29.8234085"
Nyarusange_Masare Coops,-3.5260163,29.7543665,"-3.5260163,29.7543665"
Muyinga_Ryabihira,-2.6755315,30.5041856,"-2.6755315,30.5041856"
Bweru_Nkanda,-3.2729942,30.3357875,"-3.2729942,30.3357875"
Kiremba_Ruhata,-2.863036,30.0837651,"-2.863036,30.0837651"
Bukirasazi_Kibere coop,-3.7176492,29.9645784,"-3.7176492,29.9645784"
Makebuko_Buga,-3.5518151,29.9754868,"-3.5518151,29.9754868"
Rango_Gikomero I,-3.1462084,29.8218544,"-3.1462084,29.8218544"
Makebuko_Musave,-3.5517921,29.9754025,"-3.5517921,29.9754025"
Makebuko_Rwezamenyo,-3.5518351,29.9753985,"-3.5518351,29.9753985"
Rango_Gikomero II,-3.1462043,29.8205924,"-3.1462043,29.8205924"
Kiremba_Remera,-2.922833,29.9147536,"-2.922833,29.9147536"
Nyarusange_Jugwe Coops,-3.4839525,29.886763,"-3.4839525,29.886763"
Makebuko_Rwesero,-3.6177738,30.016151,"-3.6177738,30.016151"
Kiremba_Kabari,-2.8184935,30.0969118,"-2.8184935,30.0969118"
Gitega_Gisuru Sangwe Gisuru A Coops,-3.3702902,29.8631353,"-3.3702902,29.8631353"
Kiremba_Butare,-2.8128906,30.096554,"-2.8128906,30.096554"
Gitega_Bwoga Sangwe Bwoga Coops,-3.4016733,29.8845359,"-3.4016733,29.8845359"
Gitega_Bihororo,-3.3643174,29.8557104,"-3.3643174,29.8557104"
Gahombo_Kanyankuru,-2.9324482,29.7045967,"-2.9324482,29.7045967"
Gahombo_Kibayi,-2.9324233,29.70481,"-2.9324233,29.70481"
Nyarusange_Masango coop,-3.5736296,29.7725049,"-3.5736296,29.7725049"
Gahombo_Kibenga,-2.9295845,29.6877838,"-2.9295845,29.6877838"
Gitega_Rweza,-3.4059909,29.887202,"-3.4059909,29.887202"
Kiremba_Gashikanwa,-2.9085032,29.8990393,"-2.9085032,29.8990393"
Mwumba_Kinyovu,-2.8250232,29.9144759,"-2.8250232,29.9144759"
Nyarusange_Bihomvora Coops,-3.4839525,29.886763,"-3.4839525,29.886763"
Nyarusange_Bukoro Coops,-3.4839525,29.886763,"-3.4839525,29.886763"
Nyarusange_Muhororo Coops,-3.4839525,29.886763,"-3.4839525,29.886763"
Nyarusange_Rubamvye coop,-3.6059632,29.7833136,"-3.6059632,29.7833136"
Kabarore_Nyangwe,-2.8932342,29.6928097,"-2.8932342,29.6928097"
Kabarore_Ntarambo,-2.8994127,29.698935,"-2.8994127,29.698935"
